Date,Time,heart rate variability
2025.11.06 03:00:39,03:00:39,71.0
2025.11.06 03:05:39,03:05:39,74.0
2025.11.06 03:10:39,03:10:39,63.0
2025.11.06 03:15:39,03:15:39,62.0
2025.11.06 03:20:39,03:20:39,64.0
2025.11.06 03:25:39,03:25:39,57.0
2025.11.06 03:30:39,03:30:39,57.0
2025.11.06 03:35:39,03:35:39,58.0
2025.11.06 03:40:39,03:40:39,56.0
2025.11.06 03:45:39,03:45:39,56.0
2025.11.06 03:50:39,03:50:39,53.0
2025.11.06 03:55:39,03:55:39,59.0
2025.11.06 04:00:39,04:00:39,76.0
2025.11.06 04:05:39,04:05:39,83.0
2025.11.06 04:10:39,04:10:39,77.0
2025.11.06 04:15:39,04:15:39,77.0
2025.11.06 04:20:39,04:20:39,85.0
2025.11.06 04:25:39,04:25:39,81.0
2025.11.06 04:30:39,04:30:39,63.0
2025.11.06 04:35:39,04:35:39,55.0
2025.11.06 04:40:39,04:40:39,77.0
2025.11.06 04:45:39,04:45:39,59.0
2025.11.06 04:50:39,04:50:39,59.0
2025.11.06 04:55:39,04:55:39,37.0
2025.11.06 05:00:39,05:00:39,82.0
2025.11.06 05:05:39,05:05:39,70.0
2025.11.06 05:10:39,05:10:39,61.0
2025.11.06 05:15:39,05:15:39,88.0
2025.11.06 05:20:39,05:20:39,84.0
2025.11.06 05:25:39,05:25:39,75.0
2025.11.06 05:30:39,05:30:39,69.0
2025.11.06 05:35:39,05:35:39,66.0
2025.11.06 05:40:39,05:40:39,68.0
2025.11.06 05:45:39,05:45:39,66.0
2025.11.06 05:50:39,05:50:39,58.0
2025.11.06 05:55:39,05:55:39,55.0
2025.11.06 06:00:39,06:00:39,61.0
2025.11.06 06:05:39,06:05:39,64.0
2025.11.06 06:10:39,06:10:39,57.0
2025.11.06 06:15:39,06:15:39,63.0
2025.11.06 06:20:39,06:20:39,72.0
2025.11.06 06:25:39,06:25:39,62.0
2025.11.06 06:30:39,06:30:39,74.0
2025.11.06 06:35:39,06:35:39,73.0
2025.11.06 06:40:39,06:40:39,82.0
