Date,Time,Heart rate,Source
2025.11.08 00:00:00,00:00:00,50,nl.appyhapps.healthsync
2025.11.08 00:00:00,00:00:00,51,com.garmin.android.apps.connectmobile
2025.11.08 00:00:15,00:00:15,51,nl.appyhapps.healthsync
2025.11.08 00:00:30,00:00:30,51,nl.appyhapps.healthsync
2025.11.08 00:00:45,00:00:45,51,nl.appyhapps.healthsync
2025.11.08 00:01:00,00:01:00,51,nl.appyhapps.healthsync
2025.11.08 00:01:15,00:01:15,51,nl.appyhapps.healthsync
2025.11.08 00:01:30,00:01:30,51,nl.appyhapps.healthsync
2025.11.08 00:01:45,00:01:45,51,nl.appyhapps.healthsync
2025.11.08 00:02:00,00:02:00,51,nl.appyhapps.healthsync
2025.11.08 00:02:15,00:02:15,53,nl.appyhapps.healthsync
2025.11.08 00:02:30,00:02:30,53,nl.appyhapps.healthsync
2025.11.08 00:02:45,00:02:45,53,nl.appyhapps.healthsync
2025.11.08 00:03:00,00:03:00,53,nl.appyhapps.healthsync
2025.11.08 00:03:15,00:03:15,53,nl.appyhapps.healthsync
2025.11.08 00:03:30,00:03:30,53,nl.appyhapps.healthsync
2025.11.08 00:03:45,00:03:45,53,nl.appyhapps.healthsync
2025.11.08 00:04:00,00:04:00,53,nl.appyhapps.healthsync
2025.11.08 00:04:15,00:04:15,52,nl.appyhapps.healthsync
2025.11.08 00:04:30,00:04:30,52,nl.appyhapps.healthsync
2025.11.08 00:04:45,00:04:45,52,nl.appyhapps.healthsync
2025.11.08 00:05:00,00:05:00,52,nl.appyhapps.healthsync
2025.11.08 00:05:15,00:05:15,52,nl.appyhapps.healthsync
2025.11.08 00:05:30,00:05:30,52,nl.appyhapps.healthsync
2025.11.08 00:05:45,00:05:45,52,nl.appyhapps.healthsync
2025.11.08 00:06:00,00:06:00,52,nl.appyhapps.healthsync
2025.11.08 00:06:15,00:06:15,51,nl.appyhapps.healthsync
2025.11.08 00:06:30,00:06:30,51,nl.appyhapps.healthsync
2025.11.08 00:06:45,00:06:45,51,nl.appyhapps.healthsync
2025.11.08 00:07:00,00:07:00,51,nl.appyhapps.healthsync
2025.11.08 00:07:15,00:07:15,49,nl.appyhapps.healthsync
2025.11.08 00:07:30,00:07:30,49,nl.appyhapps.healthsync
2025.11.08 00:07:45,00:07:45,49,nl.appyhapps.healthsync
2025.11.08 00:08:00,00:08:00,49,nl.appyhapps.healthsync
2025.11.08 00:08:15,00:08:15,49,nl.appyhapps.healthsync
2025.11.08 00:08:30,00:08:30,49,nl.appyhapps.healthsync
2025.11.08 00:08:45,00:08:45,49,nl.appyhapps.healthsync
2025.11.08 00:09:00,00:09:00,49,nl.appyhapps.healthsync
2025.11.08 00:09:15,00:09:15,49,nl.appyhapps.healthsync
2025.11.08 00:09:30,00:09:30,49,nl.appyhapps.healthsync
2025.11.08 00:09:45,00:09:45,49,nl.appyhapps.healthsync
2025.11.08 00:10:00,00:10:00,49,nl.appyhapps.healthsync
2025.11.08 00:10:15,00:10:15,49,nl.appyhapps.healthsync
2025.11.08 00:10:30,00:10:30,49,nl.appyhapps.healthsync
2025.11.08 00:10:45,00:10:45,49,nl.appyhapps.healthsync
2025.11.08 00:11:00,00:11:00,49,nl.appyhapps.healthsync
2025.11.08 00:11:15,00:11:15,54,nl.appyhapps.healthsync
2025.11.08 00:11:30,00:11:30,54,nl.appyhapps.healthsync
2025.11.08 00:11:45,00:11:45,54,nl.appyhapps.healthsync
2025.11.08 00:12:00,00:12:00,54,nl.appyhapps.healthsync
2025.11.08 00:12:15,00:12:15,50,nl.appyhapps.healthsync
2025.11.08 00:12:30,00:12:30,50,nl.appyhapps.healthsync
2025.11.08 00:12:45,00:12:45,50,nl.appyhapps.healthsync
2025.11.08 00:13:00,00:13:00,50,nl.appyhapps.healthsync
2025.11.08 00:13:15,00:13:15,51,nl.appyhapps.healthsync
2025.11.08 00:13:30,00:13:30,51,nl.appyhapps.healthsync
2025.11.08 00:13:45,00:13:45,51,nl.appyhapps.healthsync
2025.11.08 00:14:00,00:14:00,51,nl.appyhapps.healthsync
2025.11.08 00:14:15,00:14:15,50,nl.appyhapps.healthsync
2025.11.08 00:14:30,00:14:30,50,nl.appyhapps.healthsync
2025.11.08 00:14:45,00:14:45,50,nl.appyhapps.healthsync
2025.11.08 00:15:00,00:15:00,50,nl.appyhapps.healthsync
2025.11.08 00:15:15,00:15:15,51,nl.appyhapps.healthsync
2025.11.08 00:15:30,00:15:30,51,nl.appyhapps.healthsync
2025.11.08 00:15:45,00:15:45,51,nl.appyhapps.healthsync
2025.11.08 00:16:00,00:16:00,51,nl.appyhapps.healthsync
2025.11.08 00:16:15,00:16:15,52,nl.appyhapps.healthsync
2025.11.08 00:16:30,00:16:30,52,nl.appyhapps.healthsync
2025.11.08 00:16:45,00:16:45,52,nl.appyhapps.healthsync
2025.11.08 00:17:00,00:17:00,52,nl.appyhapps.healthsync
2025.11.08 00:17:15,00:17:15,52,nl.appyhapps.healthsync
2025.11.08 00:17:30,00:17:30,52,nl.appyhapps.healthsync
2025.11.08 00:17:45,00:17:45,52,nl.appyhapps.healthsync
2025.11.08 00:18:00,00:18:00,52,nl.appyhapps.healthsync
2025.11.08 00:18:15,00:18:15,52,nl.appyhapps.healthsync
2025.11.08 00:18:30,00:18:30,52,nl.appyhapps.healthsync
2025.11.08 00:18:45,00:18:45,52,nl.appyhapps.healthsync
2025.11.08 00:19:00,00:19:00,52,nl.appyhapps.healthsync
2025.11.08 00:19:15,00:19:15,57,nl.appyhapps.healthsync
2025.11.08 00:19:30,00:19:30,57,nl.appyhapps.healthsync
2025.11.08 00:19:45,00:19:45,57,nl.appyhapps.healthsync
2025.11.08 00:20:00,00:20:00,57,nl.appyhapps.healthsync
2025.11.08 00:20:15,00:20:15,51,nl.appyhapps.healthsync
2025.11.08 00:20:30,00:20:30,51,nl.appyhapps.healthsync
2025.11.08 00:20:45,00:20:45,51,nl.appyhapps.healthsync
2025.11.08 00:21:00,00:21:00,51,nl.appyhapps.healthsync
2025.11.08 00:21:15,00:21:15,52,nl.appyhapps.healthsync
2025.11.08 00:21:30,00:21:30,52,nl.appyhapps.healthsync
2025.11.08 00:21:45,00:21:45,52,nl.appyhapps.healthsync
2025.11.08 00:22:00,00:22:00,52,nl.appyhapps.healthsync
2025.11.08 00:22:15,00:22:15,50,nl.appyhapps.healthsync
2025.11.08 00:22:30,00:22:30,50,nl.appyhapps.healthsync
2025.11.08 00:22:45,00:22:45,50,nl.appyhapps.healthsync
2025.11.08 00:23:00,00:23:00,50,nl.appyhapps.healthsync
2025.11.08 00:23:15,00:23:15,51,nl.appyhapps.healthsync
2025.11.08 00:23:30,00:23:30,51,nl.appyhapps.healthsync
2025.11.08 00:23:45,00:23:45,51,nl.appyhapps.healthsync
2025.11.08 00:24:00,00:24:00,51,nl.appyhapps.healthsync
2025.11.08 00:24:15,00:24:15,56,nl.appyhapps.healthsync
2025.11.08 00:24:30,00:24:30,56,nl.appyhapps.healthsync
2025.11.08 00:24:45,00:24:45,56,nl.appyhapps.healthsync
2025.11.08 00:25:00,00:25:00,56,nl.appyhapps.healthsync
