Date,Time,heart rate variability
2025.10.31 21:55:51,21:55:51,66.0
2025.10.31 22:00:51,22:00:51,64.0
2025.10.31 22:05:51,22:05:51,67.0
2025.10.31 22:10:51,22:10:51,61.0
2025.10.31 22:15:51,22:15:51,60.0
2025.10.31 22:20:51,22:20:51,61.0
2025.10.31 22:25:51,22:25:51,62.0
2025.10.31 22:30:51,22:30:51,62.0
2025.10.31 22:35:51,22:35:51,62.0
2025.10.31 22:40:51,22:40:51,56.0
2025.10.31 22:45:51,22:45:51,59.0
2025.10.31 22:50:51,22:50:51,71.0
2025.10.31 22:55:51,22:55:51,62.0
2025.10.31 23:00:51,23:00:51,57.0
2025.10.31 23:05:51,23:05:51,57.0
2025.10.31 23:10:51,23:10:51,54.0
2025.10.31 23:15:51,23:15:51,62.0
2025.10.31 23:20:51,23:20:51,59.0
2025.10.31 23:25:51,23:25:51,29.0
2025.10.31 23:30:51,23:30:51,33.0
2025.10.31 23:35:51,23:35:51,30.0
2025.10.31 23:40:51,23:40:51,37.0
2025.10.31 23:45:51,23:45:51,39.0
2025.10.31 23:50:51,23:50:51,38.0
2025.10.31 23:55:51,23:55:51,50.0
2025.11.01 00:00:51,00:00:51,56.0
2025.11.01 00:05:51,00:05:51,53.0
2025.11.01 00:10:51,00:10:51,49.0
2025.11.01 00:15:51,00:15:51,51.0
2025.11.01 00:20:51,00:20:51,63.0
2025.11.01 00:25:51,00:25:51,72.0
2025.11.01 00:30:51,00:30:51,76.0
2025.11.01 00:35:51,00:35:51,57.0
2025.11.01 00:40:51,00:40:51,45.0
2025.11.01 00:45:51,00:45:51,72.0
2025.11.01 00:50:51,00:50:51,62.0
2025.11.01 00:55:51,00:55:51,61.0
2025.11.01 01:00:51,01:00:51,70.0
2025.11.01 01:05:51,01:05:51,82.0
2025.11.01 01:10:51,01:10:51,82.0
2025.11.01 01:15:51,01:15:51,60.0
2025.11.01 01:20:51,01:20:51,66.0
2025.11.01 01:25:51,01:25:51,59.0
2025.11.01 01:30:51,01:30:51,51.0
2025.11.01 01:35:51,01:35:51,78.0
2025.11.01 01:40:51,01:40:51,80.0
2025.11.01 01:45:51,01:45:51,73.0
2025.11.01 01:50:51,01:50:51,77.0
2025.11.01 01:55:51,01:55:51,57.0
2025.11.01 02:00:51,02:00:51,72.0
2025.11.01 02:05:51,02:05:51,55.0
2025.11.01 02:10:51,02:10:51,60.0
2025.11.01 02:15:51,02:15:51,57.0
2025.11.01 02:20:51,02:20:51,51.0
2025.11.01 02:25:51,02:25:51,53.0
2025.11.01 02:30:51,02:30:51,47.0
2025.11.01 02:35:51,02:35:51,57.0
