Date,Time,Steps
2024.12.16 05.15,05.15,116
2024.12.16 05.30,05.30,106
2024.12.16 05.45,05.45,13
2024.12.16 06.00,06.00,127
2024.12.16 06.15,06.15,1690
2024.12.16 06.30,06.30,2268
2024.12.16 06.45,06.45,2100
2024.12.16 07.00,07.00,1761
2024.12.16 07.15,07.15,58
2024.12.16 07.30,07.30,111
2024.12.16 07.45,07.45,120
2024.12.16 08.00,08.00,37
2024.12.16 08.15,08.15,16
2024.12.16 08.45,08.45,320
2024.12.16 09.00,09.00,189
2024.12.16 09.30,09.30,11
2024.12.16 10.00,10.00,61
2024.12.16 10.15,10.15,86
2024.12.16 11.30,11.30,112
2024.12.16 11.45,11.45,126
2024.12.16 12.00,12.00,20
2024.12.16 13.00,13.00,153
2024.12.16 13.15,13.15,254
2024.12.16 13.30,13.30,25
2024.12.16 14.45,14.45,152
2024.12.16 15.00,15.00,101
2024.12.16 16.00,16.00,246
2024.12.16 16.30,16.30,18
2024.12.16 16.45,16.45,19
2024.12.16 17.00,17.00,275
2024.12.16 17.15,17.15,21
2024.12.16 17.30,17.30,7
2024.12.16 17.45,17.45,282
2024.12.16 18.00,18.00,337
2024.12.16 18.15,18.15,137
2024.12.16 18.30,18.30,218
2024.12.16 18.45,18.45,15
2024.12.16 19.00,19.00,179
2024.12.16 19.15,19.15,36
2024.12.16 19.30,19.30,16
2024.12.16 20.15,20.15,106
2024.12.16 20.30,20.30,58
