Date,Time,Steps
2024.12.02 02.00,02.00,11
2024.12.02 03.45,03.45,7
2024.12.02 06.45,06.45,23
2024.12.02 08.00,08.00,42
2024.12.02 08.15,08.15,78
2024.12.02 08.30,08.30,109
2024.12.02 08.45,08.45,362
2024.12.02 09.00,09.00,2291
2024.12.02 09.15,09.15,2307
2024.12.02 09.30,09.30,2304
2024.12.02 09.45,09.45,569
2024.12.02 10.00,10.00,30
2024.12.02 10.15,10.15,100
2024.12.02 10.30,10.30,81
2024.12.02 10.45,10.45,32
2024.12.02 11.00,11.00,69
2024.12.02 11.30,11.30,347
2024.12.02 11.45,11.45,123
2024.12.02 12.00,12.00,228
2024.12.02 12.30,12.30,158
2024.12.02 12.45,12.45,162
2024.12.02 13.00,13.00,49
2024.12.02 13.15,13.15,233
2024.12.02 13.30,13.30,36
2024.12.02 15.15,15.15,11
2024.12.02 15.30,15.30,6
2024.12.02 15.45,15.45,86
2024.12.02 16.00,16.00,311
2024.12.02 16.15,16.15,329
2024.12.02 16.30,16.30,293
2024.12.02 16.45,16.45,135
2024.12.02 17.00,17.00,58
2024.12.02 17.15,17.15,125
2024.12.02 17.30,17.30,166
2024.12.02 17.45,17.45,110
2024.12.02 18.00,18.00,28
2024.12.02 18.15,18.15,44
2024.12.02 18.30,18.30,25
2024.12.02 18.45,18.45,10
2024.12.02 19.00,19.00,51
2024.12.02 19.45,19.45,178
2024.12.02 20.00,20.00,9
2024.12.02 20.15,20.15,43
2024.12.02 20.30,20.30,297
2024.12.03 05.15,05.15,11
2024.12.03 05.30,05.30,102
2024.12.03 06.00,06.00,44
2024.12.03 06.15,06.15,97
2024.12.03 06.30,06.30,260
2024.12.03 06.45,06.45,443
2024.12.03 07.00,07.00,107
2024.12.03 07.15,07.15,167
2024.12.03 07.30,07.30,11
2024.12.03 07.45,07.45,378
2024.12.03 08.00,08.00,392
2024.12.03 08.15,08.15,418
2024.12.03 08.30,08.30,292
2024.12.03 08.45,08.45,192
2024.12.03 09.00,09.00,288
2024.12.03 10.00,10.00,454
2024.12.03 10.15,10.15,229
2024.12.03 10.45,10.45,11
2024.12.03 11.45,11.45,215
2024.12.03 12.00,12.00,53
2024.12.03 12.15,12.15,116
2024.12.03 12.30,12.30,83
2024.12.03 12.45,12.45,21
2024.12.03 13.00,13.00,562
2024.12.03 13.15,13.15,803
2024.12.03 13.30,13.30,277
2024.12.03 13.45,13.45,331
2024.12.03 14.00,14.00,362
2024.12.03 14.15,14.15,225
2024.12.03 14.30,14.30,136
2024.12.03 15.00,15.00,14
2024.12.03 16.15,16.15,256
2024.12.03 16.30,16.30,273
2024.12.03 16.45,16.45,15
2024.12.03 17.00,17.00,304
2024.12.03 17.15,17.15,17
2024.12.03 17.30,17.30,8
2024.12.03 18.00,18.00,173
2024.12.03 18.15,18.15,305
2024.12.03 18.30,18.30,329
2024.12.03 18.45,18.45,30
2024.12.03 19.00,19.00,53
2024.12.03 19.15,19.15,260
2024.12.03 19.30,19.30,33
2024.12.03 19.45,19.45,153
2024.12.03 20.15,20.15,89
2024.12.03 20.30,20.30,183
2024.12.03 20.45,20.45,15
2024.12.03 21.00,21.00,23
2024.12.04 05.15,05.15,126
2024.12.04 05.30,05.30,125
2024.12.04 05.45,05.45,29
2024.12.04 06.00,06.00,32
2024.12.04 06.15,06.15,15
2024.12.04 06.45,06.45,860
2024.12.04 07.00,07.00,2295
2024.12.04 07.15,07.15,2014
2024.12.04 07.30,07.30,1611
2024.12.04 07.45,07.45,11
2024.12.04 08.00,08.00,47
2024.12.04 08.15,08.15,66
2024.12.04 08.45,08.45,54
2024.12.04 09.00,09.00,24
2024.12.04 09.30,09.30,9
2024.12.04 09.45,09.45,13
2024.12.04 11.00,11.00,12
2024.12.04 11.15,11.15,53
2024.12.04 11.30,11.30,237
2024.12.04 11.45,11.45,23
2024.12.04 12.45,12.45,47
2024.12.04 13.00,13.00,297
2024.12.04 14.00,14.00,15
2024.12.04 14.15,14.15,15
2024.12.04 14.30,14.30,59
2024.12.04 15.30,15.30,49
2024.12.04 15.45,15.45,9
2024.12.04 16.15,16.15,300
2024.12.04 16.30,16.30,361
2024.12.04 16.45,16.45,245
2024.12.04 17.00,17.00,235
2024.12.04 17.15,17.15,393
2024.12.04 17.30,17.30,102
2024.12.04 17.45,17.45,147
2024.12.04 18.15,18.15,50
2024.12.04 18.30,18.30,79
2024.12.04 18.45,18.45,14
2024.12.04 19.30,19.30,69
2024.12.04 19.45,19.45,47
2024.12.04 20.00,20.00,13
2024.12.04 20.15,20.15,82
2024.12.04 20.30,20.30,337
2024.12.04 20.45,20.45,384
2024.12.04 21.00,21.00,177
2024.12.04 21.15,21.15,11
2024.12.04 21.30,21.30,165
2024.12.04 21.45,21.45,24
2024.12.04 22.00,22.00,148
2024.12.05 06.30,06.30,8
2024.12.05 07.15,07.15,24
2024.12.05 07.30,07.30,84
2024.12.05 07.45,07.45,50
2024.12.05 08.00,08.00,263
2024.12.05 08.15,08.15,363
2024.12.05 08.30,08.30,106
2024.12.05 08.45,08.45,139
2024.12.05 09.00,09.00,100
2024.12.05 09.15,09.15,70
2024.12.05 09.45,09.45,31
2024.12.05 10.00,10.00,132
2024.12.05 10.15,10.15,113
2024.12.05 10.45,10.45,92
2024.12.05 11.00,11.00,374
2024.12.05 11.15,11.15,114
2024.12.05 11.30,11.30,279
2024.12.05 11.45,11.45,92
2024.12.05 12.00,12.00,172
2024.12.05 12.15,12.15,87
2024.12.05 12.30,12.30,17
2024.12.05 12.45,12.45,46
2024.12.05 13.00,13.00,19
2024.12.05 13.15,13.15,124
2024.12.05 13.30,13.30,145
2024.12.05 14.30,14.30,44
2024.12.05 14.45,14.45,159
2024.12.05 15.00,15.00,90
2024.12.05 15.15,15.15,97
2024.12.05 15.30,15.30,11
2024.12.05 15.45,15.45,36
2024.12.05 16.00,16.00,54
2024.12.05 16.15,16.15,41
2024.12.05 16.30,16.30,281
2024.12.05 16.45,16.45,310
2024.12.05 17.00,17.00,234
2024.12.05 17.15,17.15,205
2024.12.05 17.30,17.30,1168
2024.12.05 17.45,17.45,1642
2024.12.05 18.00,18.00,1627
2024.12.05 18.15,18.15,1631
2024.12.05 18.30,18.30,499
2024.12.05 18.45,18.45,102
2024.12.05 19.00,19.00,42
2024.12.05 19.15,19.15,139
2024.12.05 19.45,19.45,153
2024.12.05 20.00,20.00,478
2024.12.05 20.15,20.15,7
2024.12.05 21.45,21.45,94
2024.12.05 22.00,22.00,167
2024.12.05 22.15,22.15,7
2024.12.06 01.15,01.15,7
2024.12.06 06.15,06.15,38
2024.12.06 06.30,06.30,110
2024.12.06 07.00,07.00,156
2024.12.06 07.15,07.15,1488
2024.12.06 07.30,07.30,2247
2024.12.06 07.45,07.45,2239
2024.12.06 08.00,08.00,484
2024.12.06 08.15,08.15,109
2024.12.06 08.30,08.30,33
2024.12.06 08.45,08.45,41
2024.12.06 09.00,09.00,47
2024.12.06 09.15,09.15,167
2024.12.06 09.30,09.30,29
2024.12.06 09.45,09.45,60
2024.12.06 10.00,10.00,143
2024.12.06 10.15,10.15,57
2024.12.06 10.30,10.30,11
2024.12.06 10.45,10.45,16
2024.12.06 11.15,11.15,223
2024.12.06 11.30,11.30,29
2024.12.06 11.45,11.45,306
2024.12.06 12.00,12.00,27
2024.12.06 12.15,12.15,167
2024.12.06 12.30,12.30,177
2024.12.06 12.45,12.45,31
2024.12.06 13.00,13.00,33
2024.12.06 13.15,13.15,81
2024.12.06 13.45,13.45,386
2024.12.06 14.00,14.00,136
2024.12.06 14.15,14.15,167
2024.12.06 14.30,14.30,351
2024.12.06 14.45,14.45,118
2024.12.06 15.00,15.00,357
2024.12.06 15.30,15.30,166
2024.12.06 15.45,15.45,369
2024.12.06 16.00,16.00,256
2024.12.06 16.15,16.15,215
2024.12.06 16.30,16.30,286
2024.12.06 16.45,16.45,129
2024.12.06 17.00,17.00,17
2024.12.06 17.15,17.15,233
2024.12.06 17.30,17.30,107
2024.12.06 18.00,18.00,232
2024.12.06 18.15,18.15,224
2024.12.06 18.30,18.30,127
2024.12.06 18.45,18.45,86
2024.12.06 19.00,19.00,16
2024.12.06 19.30,19.30,108
2024.12.06 20.00,20.00,36
2024.12.06 20.15,20.15,144
2024.12.06 20.30,20.30,90
2024.12.06 20.45,20.45,19
2024.12.07 00.15,00.15,7
2024.12.07 00.45,00.45,7
2024.12.07 05.15,05.15,47
2024.12.07 05.30,05.30,181
2024.12.07 06.45,06.45,32
2024.12.07 08.45,08.45,47
2024.12.07 09.15,09.15,56
2024.12.07 09.30,09.30,91
2024.12.07 10.30,10.30,89
2024.12.07 10.45,10.45,207
2024.12.07 11.00,11.00,126
2024.12.07 11.15,11.15,343
2024.12.07 11.30,11.30,298
2024.12.07 11.45,11.45,343
2024.12.07 12.00,12.00,214
2024.12.07 12.15,12.15,293
2024.12.07 13.00,13.00,158
2024.12.07 13.15,13.15,84
2024.12.07 13.30,13.30,58
2024.12.07 13.45,13.45,157
2024.12.07 14.00,14.00,13
2024.12.07 14.15,14.15,69
2024.12.07 14.30,14.30,39
2024.12.07 14.45,14.45,55
2024.12.07 15.00,15.00,230
2024.12.07 15.45,15.45,31
2024.12.07 17.00,17.00,27
2024.12.07 18.15,18.15,26
2024.12.07 18.45,18.45,32
2024.12.07 19.00,19.00,231
2024.12.07 19.15,19.15,77
2024.12.07 19.45,19.45,45
2024.12.07 20.00,20.00,83
2024.12.07 20.30,20.30,117
2024.12.07 21.30,21.30,10
2024.12.07 22.00,22.00,9
2024.12.07 22.15,22.15,24
2024.12.07 22.30,22.30,31
2024.12.07 22.45,22.45,90
2024.12.07 23.00,23.00,68
2024.12.08 08.30,08.30,119
2024.12.08 08.45,08.45,45
2024.12.08 09.30,09.30,98
2024.12.08 09.45,09.45,1030
2024.12.08 10.00,10.00,2164
2024.12.08 10.15,10.15,2263
2024.12.08 10.30,10.30,2078
2024.12.08 10.45,10.45,286
2024.12.08 11.15,11.15,128
2024.12.08 11.30,11.30,37
2024.12.08 11.45,11.45,40
2024.12.08 12.00,12.00,50
2024.12.08 12.15,12.15,169
